user_email,user_password,user_nickname,team_id,user_role
user1@example.com,password1,nickname1,8,user
user2@example.com,password2,nickname2,2,user
user3@example.com,password3,nickname3,9,user
user4@example.com,password4,nickname4,2,user
user5@example.com,password5,nickname5,9,user
user6@example.com,password6,nickname6,6,user
user7@example.com,password7,nickname7,3,user
user8@example.com,password8,nickname8,6,user
user9@example.com,password9,nickname9,3,user
user10@example.com,password10,nickname10,7,user
user11@example.com,password11,nickname11,2,user
user12@example.com,password12,nickname12,6,user
user13@example.com,password13,nickname13,2,user
user14@example.com,password14,nickname14,1,user
user15@example.com,password15,nickname15,10,user
user16@example.com,password16,nickname16,5,user
user17@example.com,password17,nickname17,9,user
user18@example.com,password18,nickname18,2,user
user19@example.com,password19,nickname19,4,user
user20@example.com,password20,nickname20,1,user
user21@example.com,password21,nickname21,8,user
user22@example.com,password22,nickname22,2,user
user23@example.com,password23,nickname23,9,user
user24@example.com,password24,nickname24,1,user
user25@example.com,password25,nickname25,5,user
user26@example.com,password26,nickname26,5,user
user27@example.com,password27,nickname27,5,user
user28@example.com,password28,nickname28,2,user
user29@example.com,password29,nickname29,8,user
user30@example.com,password30,nickname30,4,user
user31@example.com,password31,nickname31,1,user
user32@example.com,password32,nickname32,3,user
user33@example.com,password33,nickname33,3,user
user34@example.com,password34,nickname34,9,user
user35@example.com,password35,nickname35,3,user
user36@example.com,password36,nickname36,5,user
user37@example.com,password37,nickname37,3,user
user38@example.com,password38,nickname38,4,user
user39@example.com,password39,nickname39,3,user
user40@example.com,password40,nickname40,7,user
user41@example.com,password41,nickname41,5,user
user42@example.com,password42,nickname42,10,user
user43@example.com,password43,nickname43,4,user
user44@example.com,password44,nickname44,7,user
user45@example.com,password45,nickname45,2,user
user46@example.com,password46,nickname46,9,user
user47@example.com,password47,nickname47,2,user
user48@example.com,password48,nickname48,10,user
user49@example.com,password49,nickname49,2,user
user50@example.com,password50,nickname50,7,user
user51@example.com,password51,nickname51,10,user
user52@example.com,password52,nickname52,8,user
user53@example.com,password53,nickname53,4,user
user54@example.com,password54,nickname54,9,user
user55@example.com,password55,nickname55,7,user
user56@example.com,password56,nickname56,2,user
user57@example.com,password57,nickname57,9,user
user58@example.com,password58,nickname58,8,user
user59@example.com,password59,nickname59,9,user
user60@example.com,password60,nickname60,7,user
user61@example.com,password61,nickname61,2,user
user62@example.com,password62,nickname62,10,user
user63@example.com,password63,nickname63,2,user
user64@example.com,password64,nickname64,4,user
user65@example.com,password65,nickname65,7,user
user66@example.com,password66,nickname66,4,user
user67@example.com,password67,nickname67,3,user
user68@example.com,password68,nickname68,2,user
user69@example.com,password69,nickname69,8,user
user70@example.com,password70,nickname70,7,user
user71@example.com,password71,nickname71,5,user
user72@example.com,password72,nickname72,9,user
user73@example.com,password73,nickname73,10,user
user74@example.com,password74,nickname74,9,user
user75@example.com,password75,nickname75,9,user
user76@example.com,password76,nickname76,2,user
user77@example.com,password77,nickname77,3,user
user78@example.com,password78,nickname78,10,user
user79@example.com,password79,nickname79,6,user
user80@example.com,password80,nickname80,7,user
user81@example.com,password81,nickname81,3,user
user82@example.com,password82,nickname82,6,user
user83@example.com,password83,nickname83,5,user
user84@example.com,password84,nickname84,9,user
user85@example.com,password85,nickname85,4,user
user86@example.com,password86,nickname86,3,user
user87@example.com,password87,nickname87,2,user
user88@example.com,password88,nickname88,9,user
user89@example.com,password89,nickname89,8,user
user90@example.com,password90,nickname90,2,user
user91@example.com,password91,nickname91,5,user
user92@example.com,password92,nickname92,8,user
user93@example.com,password93,nickname93,5,user
user94@example.com,password94,nickname94,5,user
user95@example.com,password95,nickname95,3,user
user96@example.com,password96,nickname96,7,user
user97@example.com,password97,nickname97,5,user
user98@example.com,password98,nickname98,10,user
user99@example.com,password99,nickname99,9,user
user100@example.com,password100,nickname100,1,user
